Id,Title,Price,User_id,profileName,review/helpfulness,review/score,review/time,review/summary,review/text
B00085GEUM,"Introduction to mathematical philosophy, (Library of Philosophy)",,A24PGSI625W39I,Erik G.,5/6,4.0,1126310400,A Philosophy Reading Classic,"A great book by a great philosopher. Of course, much of the material was for its time advanced and revolutionary now it is more of a classic introductory text given a basic preparation in critical reading and basic mathematics to sufficiently appreciate the nuance of his thought."
1883011043,"Reporting World War II, Part 1: American Journalism, 1938-1944 (Library of America)",32.86,AUHG8KSHI529U,Craig Matteson,12/12,5.0,1113004800,Another treasure from the wonderul Library of America,"I am so glad the Library of America put together these volumes of reporting from the Second World War. Sadly, all those who were living during those years are leaving us all to rapidly. Certainly, the living knowledge of the events and times is fading fast. While we value the books great authors give us, we should treasure even more the writing given us at the time. In volume one we have reporting from great journalists starting in 1938 Shirer's article on the Munich conference that gave Germany the Sudetenland.We get to follow the rise of Anti-Semitism in Germany with Kristallnacht, the fall of Poland and Paris. The London Blitz is covered by Edward R. Murrow and more and more. The United States doe not even enter the war until page 241 with the Herald Tribune's reporting of Roosevelt's ""War Message"".The reporting also takes us into the Pacific and gets us down with those doing the actual work of the war including Annalee Jacoby's account of nurses under fire in Bataan. We get early reporting on the Japanese Internment camps and the Holocaust with the NY Times reporting in 1942 that one million Jews reported slain.There is a section of fine photos of the reporters included and others in the text including some aerial shots from a bomber's point of view. This first volume ends with the Mountain Campaign in Italy in 1944. The volume also supplies a short, but full chronology of the war, some excellent maps, biographies of the journalists, acknowledgements, notes on the texts, and a glossary of military terms.A superb job."
0792799860,After the Fire (Chivers Sound Library),,AW1D6P2T7TF4,Nick G,10/11,4.0,986342400,VERY GOOD FAMILY DRAMA,"Gerald and Hyacinth are the picture perfect couple. She a beautiful artist, he a brilliant surgeon, and two wonderful children. Their marriage is the envy of all their friends, until...One night a mysterious phone call prompts Hy to look deeply into her marriage. After confronting her husband about his infidelity, Hy goes into a downward-spiral leaving her acccused of commiting an unthinkable act. An act that will ultimitely leave her husband-less, and child-less.For fear of what Gerald will do with what he knows, Hy must never speak about what happened, not even to her mother Francine, who always hated Gerald anyway. But as time goes by she realizes she must face what happened on the night in question if she is to get her children back.&quot;After The Fire&quot; is a page-turning family saga as only Belva Plain could write. The characters well-developed, the plot realistic and thoroughly entertaining.Belva Plain has written another bestseller about a family in crisis that will fly up the bestseller list's.Nick Gonnella"
0671027182,A Titanic Journey Across the Sea 1912 (American Sisters),,,,5/6,5.0,940896000,An Excellent Titanic Book,"This book was EXCELLENT!!! It was so intersting, I couldn't put it down!! It starts off a little slow, but stick to this book, you won't regret it!!"
0671551353,SPELLBINDER: NIGHTWORLD,,,,0/0,5.0,958953600,The best of the Night World,"This book was incredibly good, and hard to find as well! I finally found it cheap at half.com. But no matter what, just try to get your hands on it because if you enjoy a good story of magic, witchcraft, and heart-wrenching love, this is the Night World book for you. I especially love L.J. Smith's &quot;soulmate&quot; theory, that each person is destined to be with one person only during their lifetime in the entire world. Another great Night World book was Witchlight. I highly recommend all of L.J. Smith's books!"
0786268948,Steam: The Untold Story Of America's First Great Invention,,A26JGAM6GZMM4V,Robert Morris,14/14,5.0,1093478400,A Brilliant Achievement,"Sutcliffe really does tell a compelling story about ""America's first great invention"" which, to the best of my knowledge, has not been adequately told until now. Most of us learned early in life that Robert Fulton invented the first steam-powered boat, just as we were also told in school that Thomas Edison invented almost everything else, including the light bulb. In fact, James Rumsey and John Fitch competed strenuously to be the first to launch a steam-powered boat. During the summer of 1790, Fitch launched a steamboat commuter service between Philadelphia and Trenton but was unable to make it profitable in competition with stagecoaches. It was not until almost 20 years later (1807) that Fulton's Clermont carried passengers between New York City and Albany.The need for water transportation was obvious, hence the importance of barges but they could not proceed against the current and had to be towed back or returned over land for their next voyage. What if the power of steam could be used to solve that problem? Of course, those whose economic self-interests would be threatened by (in effect) a steam-powered barge -- notably owners and employees of stagecoach and barge companies -- did all they could to oppose efforts by Rumsey and Fitch. They delayed but could not ultimately deny what proved to be the inevitable commercial success of steam-powered boats, ""America's first great invention.""Sutcliffe's writing skills are such that her presentation of historical material reads like a novel worthy of Charles Dickens in his prime. Her narrative has everything: passionate and determined antagonists, a plot filled with crisis and conflict, conspiracies, use and abuse of political influence as well as all manner of anecdotes which help to reveal the stresses, tensions, and (yes) opportunities which developed during the years immediately following the American Revolution.Great stuff!"
067155137X,The Chosen (Night World),,,,0/0,5.0,880502400,L.J.Smith works at one of her best,This was grreeaaatttt!!! Now I love Quinn(I change every book)I loved that she put all this enerygy stuff and what masters hadsaid as it was intersting Email for a chat We need to make our own channel!!! on irc!! NNOOOOWWWW
0312283970,The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,,A19CP6QWVPXQMY,"""danrcox""",6/6,5.0,1039910400,Life as a dog,"A fascinating account of one man's crusade to rescue the stray dogs of St. Louis, this book gives us incredible insight into the issues surrounding the stray animal problem in this country. I learned more than I knew there was to know about feral dogs and their place in our society. But this book is not just about dogs - the lessons learned could just as easily be applied to the &quot;capture&quot; and &quot;saving&quot; of all the other strays found in our cities--including those lost &amp; homeless children who have become so commonplace. The behaviors they exhibit are scarily similar to those described by Randy Grim in this book. A gripping tale and one which should be read by anyone interested in the plight of all the strays of the world."
0891457011,Classic Plastic Model Kits: Identification & Value Guide,,A2GJ5O5KYRLLGX,MPC4ME,1/1,5.0,1317427200,great guide with alot of info,"This is a great guide for anyone who collects kits, and my favorite part of the book is the short bio/backstorys about every kit manufacturer, much more info than wikipedia for sure. Some of the buying and selling areas may be a litte dated, but this is still a great book to add to your library."
0792799860,After the Fire (Chivers Sound Library),,,,8/11,2.0,961200000,Sorry I read this title!,"Belva Plain is one of those authors who I still insist uon reading. But now, after finishing After the Fire, I may very well pass on reading her books in the future. Known for her blockbuster hit Evergreen and the continuation of this family saga, some years ago Plain ventured into more contemporary subjects. I for one sure wish she hadn't especially after reading this book and Homecoming and Fortune's Hand among other titles. Concentrating on today's issues liek spousal abuse, black mail, family issues, adultery and child abuse, I still long to read a book like Evergreen or even her more recent Legacy of Secrets which was her last good book.The theme of After the Fire is once again rich girl marries poor doctor man and while their lives should be picture perfect, they're not. And in one moment the husband is in a position not only to divorce hsi wife but also sue her for custody of their children. The remainder of the book is predictable but all the whiel I wondered why the woman didn't pursue his allegations.I'm sorry I can't recommend this book, even as a beach read and am still longing for another great read from Belva."
